payload_size delay num_messages message_id arrival_rank half_rtt_ms
10 none 10 6 0 63.4632
10 none 10 9 1 68.1601
10 none 10 8 2 74.4683
10 none 10 7 3 81.1623
10 none 10 5 4 86.6114
10 none 10 2 5 94.4301
10 none 10 1 6 100.43
10 none 10 0 7 106.765
10 none 10 3 8 114.519
10 none 10 4 9 117.525
10 none 10 3 0 17.617
10 none 10 6 1 18.7371
10 none 10 9 2 20.0496
10 none 10 7 3 21.0297
10 none 10 4 4 22.8297
10 none 10 2 5 24.5415
10 none 10 0 6 25.9684
10 none 10 5 7 27.488
10 none 10 1 8 28.5879
10 none 10 8 9 31.1525
10 none 10 3 0 17.0039
10 none 10 5 1 18.0344
10 none 10 7 2 19.2935
10 none 10 6 3 20.5305
10 none 10 4 4 21.7925
10 none 10 9 5 23.0329
10 none 10 0 6 25.1987
10 none 10 1 7 26.1565
10 none 10 2 8 28.3944
10 none 10 8 9 30.7399
10 none 10 0 0 17.0211
10 none 10 7 1 17.9209
10 none 10 9 2 19.0339
10 none 10 8 3 20.6654
10 none 10 3 4 22.0349
10 none 10 2 5 23.1198
10 none 10 4 6 25.33
10 none 10 1 7 27.0856
10 none 10 6 8 28.7313
10 none 10 5 9 31.2159
10 none 10 6 0 16.5716
10 none 10 7 1 17.6182
10 none 10 9 2 18.6496
10 none 10 4 3 19.937
10 none 10 0 4 21.366
10 none 10 2 5 22.7431
10 none 10 5 6 25.448
10 none 10 1 7 27.6902
10 none 10 3 8 29.0407
10 none 10 8 9 31.6192
10 none 10 6 0 16.5448
10 none 10 2 1 17.5662
10 none 10 9 2 19.049
10 none 10 1 3 20.3011
10 none 10 5 4 22.6317
10 none 10 3 5 23.7148
10 none 10 0 6 25.7523
10 none 10 4 7 26.7801
10 none 10 7 8 28.8445
10 none 10 8 9 29.8907
10 none 10 7 0 21.3419
10 none 10 9 1 22.1862
10 none 10 2 2 23.511
10 none 10 6 3 24.9152
10 none 10 1 4 27.5154
10 none 10 3 5 30.3616
10 none 10 5 6 32.461
10 none 10 0 7 34.9707
10 none 10 8 8 37.2769
10 none 10 4 9 39.197
10 none 10 0 0 17.4636
10 none 10 2 1 23.0661
10 none 10 9 2 24.1857
10 none 10 1 3 25.4891
10 none 10 7 4 26.8006
10 none 10 8 5 30.2029
10 none 10 4 6 31.4399
10 none 10 3 7 33.1122
10 none 10 5 8 36.384
10 none 10 6 9 37.2826
10 none 10 1 0 16.7198
10 none 10 6 1 17.8455
10 none 10 5 2 20.8085
10 none 10 4 3 22.0902
10 none 10 2 4 23.9442
10 none 10 7 5 25.4088
10 none 10 0 6 27.015
10 none 10 3 7 27.9598
10 none 10 9 8 30.1026
10 none 10 8 9 32.2745
10 none 10 2 0 18.3704
10 none 10 6 1 19.3985
10 none 10 4 2 22.5333
10 none 10 3 3 23.7317
10 none 10 7 4 25.2548
10 none 10 9 5 26.2235
10 none 10 0 6 28.3154
10 none 10 1 7 29.8705
10 none 10 8 8 33.149
10 none 10 5 9 34.3896
10 none 4 0 0 5.39659
10 none 4 3 1 7.07884
10 none 4 1 2 7.74836
10 none 4 2 3 8.51326
10 none 4 1 0 4.75816
10 none 4 0 1 5.51854
10 none 4 2 2 6.05917
10 none 4 3 3 36.4277
10 none 4 0 0 6.20708
10 none 4 1 1 7.54762
10 none 4 2 2 8.54194
10 none 4 3 3 9.46713
10 none 4 1 0 5.67219
10 none 4 3 1 6.35529
10 none 4 2 2 7.24214
10 none 4 0 3 7.88812
10 none 4 2 0 5.60216
10 none 4 1 1 6.28978
10 none 4 3 2 6.92731
10 none 4 0 3 7.68315
10 none 4 0 0 4.43005
10 none 4 2 1 4.99935
10 none 4 1 2 5.86356
10 none 4 3 3 6.58772
10 none 4 2 0 5.71203
10 none 4 1 1 6.33446
10 none 4 0 2 6.94059
10 none 4 3 3 7.58867
10 none 4 0 0 4.77084
10 none 4 1 1 5.57106
10 none 4 2 2 6.39423
10 none 4 3 3 7.03145
10 none 4 0 0 5.35282
10 none 4 2 1 6.13916
10 none 4 1 2 6.99975
10 none 4 3 3 19.3067
10 none 4 0 0 4.81703
10 none 4 2 1 5.46753
10 none 4 1 2 6.37612
10 none 4 3 3 6.74378
10 none 1 0 0 47.7277
10 none 1 0 0 2.71912
10 none 1 0 0 2.84741
10 none 1 0 0 3.63918
10 none 1 0 0 32.7484
10 none 1 0 0 2.62615
