payload_size slaves_processing message_id half_rtt_ms
10 none 8 36.4266
10 none 0 40.4821
10 none 9 43.41
10 none 1 46.4727
10 none 7 50.419
10 none 2 53.4682
10 none 5 57.4389
10 none 3 61.4643
10 none 6 65.4287
10 none 4 67.4598
10 none 8 29.1728
10 none 0 31.199
10 none 6 34.1698
10 none 9 37.1517
10 none 2 39.187
10 none 3 42.1821
10 none 7 45.1625
10 none 4 48.1737
10 none 1 51.1897
10 none 5 53.1704
10 none 8 65.2966
10 none 0 70.4073
10 none 2 76.3808
10 none 5 82.3144
10 none 6 88.3014
10 none 3 92.382
10 none 1 101.391
10 none 4 108.367
10 none 7 115.293
10 none 9 119.274
10 none 8 39.3208
10 none 0 43.351
10 none 1 46.3404
10 none 4 50.3262
10 none 5 53.3211
10 none 7 57.3135
10 none 6 61.3178
10 none 9 64.2852
10 none 2 66.3356
10 none 3 68.331
10 none 1 17.5193
10 none 3 18.5078
10 none 6 19.4897
10 none 8 21.4888
10 none 9 23.4852
10 none 2 24.519
10 none 7 26.487
10 none 0 27.5217
10 none 4 29.5063
10 none 5 31.4849
10 none 8 39.5016
10 none 1 43.5553
10 none 0 46.5647
10 none 5 49.5173
10 none 3 52.5472
10 none 7 56.4968
10 none 2 60.5496
10 none 4 64.526
10 none 6 69.5124
10 none 9 71.4817
10 none 8 44.6112
10 none 0 48.6692
10 none 9 52.594
10 none 1 55.6544
10 none 3 60.6453
10 none 7 64.6049
10 none 2 69.6508
10 none 5 73.6333
10 none 6 78.6152
10 none 4 81.6393
10 none 8 30.6291
10 none 0 33.649
10 none 2 36.6379
10 none 1 39.64
10 none 4 42.6282
10 none 5 45.6252
10 none 7 48.6155
10 none 9 51.5932
10 none 6 54.6225
10 none 3 56.6312
10 none 4 35.4529
10 none 8 37.4299
10 none 0 41.4827
10 none 5 44.4275
10 none 1 48.4725
10 none 3 51.4465
10 none 2 55.4664
10 none 7 59.4199
10 none 6 63.4239
10 none 9 65.4112
10 none 8 31.4303
10 none 0 34.4859
10 none 5 37.4488
10 none 1 40.4783
10 none 2 43.4406
10 none 3 46.4675
10 none 7 49.4246
10 none 9 52.4125
10 none 6 55.4439
10 none 4 57.4557
50 none 0 16.2583
50 none 2 17.2541
50 none 8 18.2142
50 none 9 20.2151
50 none 4 21.2287
50 none 7 23.2188
50 none 3 24.2399
50 none 5 26.2336
50 none 1 28.2538
50 none 6 29.2251
50 none 0 17.3828
50 none 4 18.3761
50 none 3 21.3791
50 none 7 23.3692
50 none 1 24.3773
50 none 8 25.3631
50 none 5 27.3746
50 none 6 29.3713
50 none 9 31.3541
50 none 2 32.3803
50 none 1 18.0316
50 none 3 20.0295
50 none 8 20.9948
50 none 7 22.9821
50 none 5 25.0065
50 none 6 26.0002
50 none 2 28.0207
