payload_size delay num_messages message_id arrival_rank rtt_ms
0 none 10 1 0 22.133
0 none 10 0 1 23.1959
0 none 10 6 2 24.3285
0 none 10 9 3 25.7769
0 none 10 8 4 29.3042
0 none 10 2 5 31.2887
0 none 10 5 6 34.1012
0 none 10 4 7 36.735
0 none 10 7 8 39.3399
0 none 10 3 9 40.9615
0 none 10 1 0 19.0135
0 none 10 6 1 20.1102
0 none 10 0 2 21.7361
0 none 10 3 3 23.3674
0 none 10 5 4 24.4879
0 none 10 4 5 26.4057
0 none 10 7 6 28.9523
0 none 10 9 7 30.2892
0 none 10 2 8 31.9737
0 none 10 8 9 34.4565
0 none 10 3 0 19.54
0 none 10 1 1 20.589
0 none 10 6 2 21.772
0 none 10 5 3 23.054
0 none 10 4 4 24.5048
0 none 10 7 5 27.5543
0 none 10 0 6 28.6845
0 none 10 2 7 30.3089
0 none 10 9 8 32.1937
0 none 10 8 9 35.0618
0 none 10 0 0 18.8828
0 none 10 1 1 19.9327
0 none 10 2 2 21.7714
0 none 10 6 3 22.9291
0 none 10 3 4 24.356
0 none 10 4 5 26.1663
0 none 10 9 6 27.708
0 none 10 7 7 30.5824
0 none 10 8 8 32.68
0 none 10 5 9 61.2221
0 none 10 1 0 17.413
0 none 10 0 1 18.664
0 none 10 6 2 19.5596
0 none 10 3 3 21.5565
0 none 10 5 4 22.7528
0 none 10 2 5 24.494
0 none 10 7 6 27.1592
0 none 10 9 7 28.7687
0 none 10 4 8 30.614
0 none 10 8 9 32.7993
0 none 10 4 0 17.7508
0 none 10 8 1 18.6703
0 none 10 2 2 19.9249
0 none 10 6 3 21.2374
0 none 10 5 4 22.6239
0 none 10 9 5 24.6461
0 none 10 0 6 25.8675
0 none 10 1 7 28.2006
0 none 10 3 8 29.687
0 none 10 7 9 31.9383
0 none 10 2 0 17.8568
0 none 10 4 1 19.2327
0 none 10 5 2 20.4308
0 none 10 3 3 21.5571
0 none 10 6 4 22.754
0 none 10 1 5 24.2884
0 none 10 9 6 25.8376
0 none 10 0 7 28.0258
0 none 10 7 8 29.8265
0 none 10 8 9 32.703
0 none 10 0 0 18.0783
0 none 10 1 1 19.0588
0 none 10 2 2 20.3707
0 none 10 4 3 22.0582
0 none 10 5 4 23.6031
0 none 10 6 5 24.6959
0 none 10 8 6 26.8286
0 none 10 9 7 28.1493
0 none 10 3 8 30.4109
0 none 10 7 9 32.9016
0 none 10 1 0 18.4225
0 none 10 6 1 19.3091
0 none 10 5 2 20.6161
0 none 10 4 3 22.1557
0 none 10 2 4 23.6475
0 none 10 9 5 25.0231
0 none 10 8 6 28.053
0 none 10 3 7 29.2372
0 none 10 0 8 30.9618
0 none 10 7 9 34.04
0 none 10 6 0 18.7412
0 none 10 7 1 21.8659
0 none 10 5 2 22.9538
0 none 10 3 3 24.4885
0 none 10 2 4 26.1672
0 none 10 4 5 27.3907
0 none 10 9 6 29.2248
0 none 10 1 7 32.0072
0 none 10 8 8 34.6476
0 none 10 0 9 35.5369
0 none 4 0 0 5.10128
0 none 4 1 1 5.68027
0 none 4 3 2 6.396
0 none 4 2 3 7.1555
0 none 4 1 0 4.56818
0 none 4 3 1 5.33704
0 none 4 0 2 6.07753
0 none 4 2 3 6.87809
0 none 4 1 0 5.06446
0 none 4 2 1 5.60209
0 none 4 3 2 6.75281
0 none 4 0 3 7.33844
0 none 4 3 0 4.85949
0 none 4 2 1 5.6371
0 none 4 0 2 6.42709
0 none 4 1 3 7.0583
0 none 4 2 0 4.77587
0 none 4 1 1 5.33614
0 none 4 3 2 6.07089
0 none 4 0 3 6.91733
0 none 4 3 0 5.72404
0 none 4 2 1 6.36219
0 none 4 0 2 7.24667
0 none 4 1 3 8.18156
0 none 4 1 0 4.78583
0 none 4 0 1 5.49945
0 none 4 2 2 6.29065
0 none 4 3 3 7.01151
0 none 4 0 0 5.30474
0 none 4 2 1 5.87316
0 none 4 1 2 6.55629
0 none 4 3 3 7.58778
0 none 4 2 0 4.90658
0 none 4 0 1 5.48919
0 none 4 3 2 6.47871
0 none 4 1 3 7.16607
0 none 4 0 0 4.87066
0 none 4 2 1 5.57824
0 none 4 3 2 6.32506
0 none 4 1 3 7.05589
0 none 1 0 0 2.4557
0 none 1 0 0 2.72829
0 none 1 0 0 2.55532
0 none 1 0 0 2.72165
0 none 1 0 0 2.62022
0 none 1 0 0 3.0854
0 none 1 0 0 2.89492
0 none 1 0 0 2.71622
0 none 1 0 0 2.62928
0 none 1 0 0 2.93598
8000000 none 10 1 0 3516.29
8000000 none 10 0 1 4559.16
8000000 none 10 3 2 5273.53
8000000 none 10 2 3 6315.82
8000000 none 10 4 4 7190.41
8000000 none 10 5 5 7943.28
8000000 none 10 6 6 8779.73
8000000 none 10 8 7 9671.62
8000000 none 10 7 8 10556.9
8000000 none 10 9 9 11496.7
8000000 none 10 0 0 3580.37
8000000 none 10 1 1 4416.41
8000000 none 10 3 2 5109.29
8000000 none 10 2 3 6179.45
8000000 none 10 4 4 7067.6
8000000 none 10 5 5 7849.75
8000000 none 10 6 6 8755.12
8000000 none 10 9 7 9356.39
8000000 none 10 7 8 10382.4
8000000 none 10 8 9 11355.5
8000000 none 10 0 0 3471.59
8000000 none 10 1 1 4434.69
8000000 none 10 2 2 5269.42
8000000 none 10 3 3 5997.17
8000000 none 10 5 4 6683.79
8000000 none 10 4 5 7636.63
8000000 none 10 6 6 8248.32
8000000 none 10 7 7 9237.95
8000000 none 10 9 8 10098.6
8000000 none 10 8 9 11234.9
8000000 none 10 0 0 3548.59
8000000 none 10 1 1 4395.41
8000000 none 10 3 2 5249.35
8000000 none 10 2 3 6246.84
8000000 none 10 4 4 7185.88
8000000 none 10 6 5 7800.51
8000000 none 10 5 6 8772.76
8000000 none 10 9 7 9383.97
8000000 none 10 7 8 10528.3
8000000 none 10 8 9 11284.3
8000000 none 10 0 0 3468.18
8000000 none 10 1 1 4380.02
8000000 none 10 3 2 5365.56
8000000 none 10 2 3 6343.47
8000000 none 10 4 4 7214.78
8000000 none 10 6 5 7844.75
8000000 none 10 9 6 8691.81
8000000 none 10 5 7 9888.88
8000000 none 10 7 8 10623.7
8000000 none 10 8 9 11573.6
8000000 none 10 0 0 3439.71
8000000 none 10 1 1 4308.4
8000000 none 10 2 2 5249.52
8000000 none 10 3 3 6055.87
8000000 none 10 4 4 6925.9
8000000 none 10 6 5 7691.82
8000000 none 10 5 6 8643.73
8000000 none 10 8 7 9384.56
8000000 none 10 9 8 10155.3
8000000 none 10 7 9 11196.1
8000000 none 10 0 0 3537.8
8000000 none 10 1 1 4296.66
8000000 none 10 2 2 5307.77
8000000 none 10 3 3 6085.01
8000000 none 10 5 4 6806.76
8000000 none 10 4 5 7905.42
8000000 none 10 6 6 8629.21
8000000 none 10 7 7 9396.11
8000000 none 10 8 8 10170.1
8000000 none 10 9 9 11137.5
8000000 none 10 0 0 3541.05
8000000 none 10 2 1 4497.26
8000000 none 10 1 2 5482.91
8000000 none 10 3 3 6296.36
8000000 none 10 4 4 7034.02
8000000 none 10 5 5 7849.19
8000000 none 10 6 6 8682.37
8000000 none 10 7 7 9467.09
8000000 none 10 9 8 10353.1
8000000 none 10 8 9 11372.2
8000000 none 10 0 0 3468.39
8000000 none 10 1 1 4451.91
8000000 none 10 2 2 5209.86
8000000 none 10 3 3 6064.2
8000000 none 10 4 4 6931.01
8000000 none 10 6 5 7625.66
8000000 none 10 5 6 8553.84
8000000 none 10 7 7 9387.32
8000000 none 10 8 8 10323.5
8000000 none 10 9 9 11271.4
8000000 none 10 0 0 3499.49
8000000 none 10 1 1 4338.09
8000000 none 10 3 2 5158.19
8000000 none 10 2 3 6258.31
8000000 none 10 4 4 7103.42
8000000 none 10 5 5 7864.02
8000000 none 10 6 6 8853.41
8000000 none 10 7 7 9591
8000000 none 10 9 8 10495.1
8000000 none 10 8 9 11517.5
8000000 none 4 0 0 2117.26
8000000 none 4 1 1 2976.37
8000000 none 4 2 2 3853.98
8000000 none 4 3 3 4808.88
8000000 none 4 1 0 2113.28
8000000 none 4 0 1 3133.83
8000000 none 4 3 2 4036.15
8000000 none 4 2 3 5209.47
8000000 none 4 0 0 2094.39
8000000 none 4 1 1 2904.14
8000000 none 4 3 2 3886.15
8000000 none 4 2 3 5026.89
8000000 none 4 0 0 2141.32
8000000 none 4 1 1 3086.69
8000000 none 4 2 2 4037.38
8000000 none 4 3 3 4878.56
8000000 none 4 0 0 2035.37
8000000 none 4 1 1 2980.57
8000000 none 4 2 2 3925.88
8000000 none 4 3 3 4815.93
8000000 none 4 0 0 2080.2
8000000 none 4 1 1 3087.46
8000000 none 4 2 2 3857.62
8000000 none 4 3 3 4727.35
8000000 none 4 0 0 2145.48
8000000 none 4 1 1 3018.67
8000000 none 4 2 2 3931.76
8000000 none 4 3 3 4949.86
8000000 none 4 0 0 2147.58
8000000 none 4 1 1 2979.29
8000000 none 4 3 2 3862.29
8000000 none 4 2 3 4763.54
8000000 none 4 0 0 2178.53
8000000 none 4 1 1 3141.92
8000000 none 4 2 2 4126.25
8000000 none 4 3 3 4904.44
8000000 none 4 0 0 2115.17
8000000 none 4 1 1 2955.33
8000000 none 4 2 2 3853.53
8000000 none 4 3 3 4741.08
8000000 none 1 0 0 1867.67
8000000 none 1 0 0 1612.68
8000000 none 1 0 0 1768.27
8000000 none 1 0 0 1898.22
8000000 none 1 0 0 1969.48
8000000 none 1 0 0 1842.43
8000000 none 1 0 0 1766.64
8000000 none 1 0 0 1881.97
8000000 none 1 0 0 1720.16
8000000 none 1 0 0 1958.7
15000000 none 1 0 0 3326.55
15000000 none 1 0 0 3308.27
15000000 none 1 0 0 3351.02
15000000 none 1 0 0 3461.71
15000000 none 1 0 0 3554.06
15000000 none 1 0 0 3267.05
