payload_size delay num_messages message_id arrival_rank half_rtt_ms
80000000 none 1 0 0 21760.5
80000000 none 1 0 0 26759.4
80000000 none 1 0 0 28188.5
80000000 none 1 0 0 27277.7
80000000 none 1 0 0 26034.5
80000000 none 1 0 0 23073.6
80000000 none 1 0 0 22678.3
80000000 none 1 0 0 22826.2
80000000 none 1 0 0 23168.8
80000000 none 1 0 0 23428.9
40000000 none 2 1 0 5925.54
40000000 none 2 0 1 12622.8
40000000 none 2 1 0 6564.84
40000000 none 2 0 1 12959.3
40000000 none 2 1 0 6325.52
40000000 none 2 0 1 12341.7
40000000 none 2 0 0 5821.82
40000000 none 2 1 1 12449.6
40000000 none 2 1 0 6181.02
40000000 none 2 0 1 12184.3
40000000 none 2 1 0 6488.91
40000000 none 2 0 1 12487.2
40000000 none 2 0 0 6322.48
40000000 none 2 1 1 13105.7
40000000 none 2 1 0 6063.48
40000000 none 2 0 1 12829.8
40000000 none 2 1 0 6462.49
40000000 none 2 0 1 12501.2
40000000 none 2 1 0 5994.52
40000000 none 2 0 1 12114.4
20000000 none 4 3 0 2339.3
20000000 none 4 0 1 4547.98
20000000 none 4 1 2 6758.67
20000000 none 4 2 3 8890.8
20000000 none 4 1 0 2385.77
20000000 none 4 3 1 4673.44
20000000 none 4 2 2 6672.34
20000000 none 4 0 3 8895.43
20000000 none 4 1 0 2587.85
20000000 none 4 3 1 4859
20000000 none 4 0 2 7377.75
20000000 none 4 2 3 9549.2
20000000 none 4 1 0 2434.48
20000000 none 4 3 1 4758
20000000 none 4 0 2 6836.24
20000000 none 4 2 3 8945.93
20000000 none 4 1 0 2268.48
20000000 none 4 2 1 4425.81
20000000 none 4 3 2 6612.9
20000000 none 4 0 3 8827.47
20000000 none 4 1 0 2433.17
20000000 none 4 3 1 4915.26
20000000 none 4 0 2 7012.29
20000000 none 4 2 3 9311.13
20000000 none 4 1 0 2576.07
20000000 none 4 3 1 4966.94
20000000 none 4 2 2 7273.54
20000000 none 4 0 3 9578.13
20000000 none 4 3 0 2574.06
20000000 none 4 1 1 4779.61
20000000 none 4 2 2 6993.5
20000000 none 4 0 3 9485.14
20000000 none 4 3 0 2227.63
20000000 none 4 1 1 4521.14
20000000 none 4 0 2 6600.74
20000000 none 4 2 3 8896.68
20000000 none 4 3 0 2322.28
20000000 none 4 1 1 4741.35
20000000 none 4 2 2 6815.79
20000000 none 4 0 3 9116.28
13333333 none 6 1 0 1296.23
13333333 none 6 0 1 2715.37
13333333 none 6 3 2 4267.88
13333333 none 6 5 3 5744.2
13333333 none 6 4 4 7540.7
13333333 none 6 2 5 8892.23
13333333 none 6 1 0 1527.41
13333333 none 6 0 1 2969.69
13333333 none 6 4 2 4283.02
13333333 none 6 5 3 6060.2
13333333 none 6 2 4 7409.64
13333333 none 6 3 5 8827.4
13333333 none 6 1 0 1762.82
13333333 none 6 5 1 3373.81
13333333 none 6 4 2 4699.94
