range_start range_end nr_slaves primes_count wall_time_ms
2 1600000000  1 79451833  36013.4
2 1600000000  1 79451833  35916.8
2 1600000000  1 79451833  35971
2 1600000000  1 79451833  35911.1
2 1600000000  1 79451833  36169.6
2 1600000000  2 79451833  19621.8
2 1600000000  2 79451833  19516.5
2 1600000000  2 79451833  19574.3
2 1600000000  2 79451833  19230.8
2 1600000000  2 79451833  19635.5
2 1600000000  4 79451833  13353.7
2 1600000000  4 79451833  13029
2 1600000000  4 79451833  13521.2
2 1600000000  4 79451833  12938.2
2 1600000000  4 79451833  13794.9
2 1600000000  6 79451833  12034.2
2 1600000000  6 79451833  11907
2 1600000000  6 79451833  11796.8
2 1600000000  6 79451833  12440.4
2 1600000000  6 79451833  12107.5
2 1600000000  8 79451833  11061.9
2 1600000000  8 79451833  11563.7
2 1600000000  8 79451833  11393.7
2 1600000000  8 79451833  11767.8
2 1600000000  8 79451833  11485.2
2 1600000000  10  79451833  11009.6
2 1600000000  10  79451833  10729.6
2 1600000000  10  79451833  11163.6
2 1600000000  10  79451833  10868.4
2 1600000000  10  79451833  10457.3
2 1600000000  12  79451833  10773.7
2 1600000000  12  79451833  10736
2 1600000000  12  79451833  10963.3
2 1600000000  12  79451833  10831.6
2 1600000000  12  79451833  10838.5
